1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 30, 1, 2
57, plains, minecraft:plains, MONSTER, geode:goldgeode, 20, 1, 1
58, plains, minecraft:plains, MONSTER, geode:glowstonegeode, 20, 1, 1
59, plains, minecraft:plains, MONSTER, geode:emeraldgeode, 20, 1, 1
60, plains, minecraft:plains, MONSTER, geode:diamondgeode, 25, 1, 1
61, plains, minecraft:plains, MONSTER, geode:coalgeode, 20, 1, 1
62, plains, minecraft:plains, MONSTER, teleportation_crystals:unstable_enderman, 10, 1, 1
63, plains, minecraft:plains, MONSTER, experimental_m:vixi, 7, 1, 1
64, plains, minecraft:plains, MONSTER, experimental_m:vinci, 5, 1, 1
65, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
66, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
67, plains, minecraft:plains, MONSTER, experimental_m:skinnerprimerestado, 7, 1, 1
68, plains, minecraft:plains, MONSTER, experimental_m:rotscal, 5, 1, 1
69, plains, minecraft:plains, MONSTER, experimental_m:raffle, 5, 1, 1
70, plains, minecraft:plains, MONSTER, dungeonsmod:mimic, 5, 1, 1
71, plains, minecraft:plains, MONSTER, experimental_m:praying_mantis, 5, 1, 1
72, plains, minecraft:plains, MONSTER, touhou_little_maid:fairy, 30, 1, 2
73, plains, minecraft:plains, MONSTER, experimental_m:mummybeetle, 7, 3, 4
74, plains, minecraft:plains, MONSTER, experimental_m:mummybeetleclones, 5, 2, 4
75, plains, minecraft:plains, MONSTER, experimental_m:morb, 7, 1, 1
76, plains, minecraft:plains, MONSTER, experimental_m:lover, 5, 1, 1
77, plains, minecraft:plains, MONSTER, experimental_m:kullo, 7, 1, 1
78, plains, minecraft:plains, MONSTER, experimental_m:fiend, 5, 1, 1
79, plains, minecraft:plains, MONSTER, experimental_m:endermancito, 7, 1, 1
80, plains, minecraft:plains, MONSTER, experimental_m:chunchi_zombie, 5, 2, 3
81, plains, minecraft:plains, MONSTER, experimental_m:chilopoto, 6, 1, 2
82, plains, minecraft:plains, MONSTER, experimental_m:baby_skeleton, 5, 1, 2
83, plains, minecraft:plains, MONSTER, experimental_m:baby_acid_slime, 5, 2, 3
84, plains, minecraft:plains, MONSTER, experimental_m:acid_slime, 5, 1, 2
85, plains, minecraft:plains, CREATURE, minecraft:sheep, 22, 2, 3
86, plains, minecraft:plains, CREATURE, minecraft:pig, 20, 2, 3
87, plains, minecraft:plains, CREATURE, minecraft:chicken, 20, 2, 3
88, plains, minecraft:plains, CREATURE, minecraft:cow, 18, 2, 3
89, plains, minecraft:plains, CREATURE, minecraft:horse, 25, 2, 3
90, plains, minecraft:plains, CREATURE, minecraft:donkey, 5, 1, 3
91, plains, minecraft:plains, CREATURE, exoticbirds:hummingbird, 18, 2, 3
92, plains, minecraft:plains, CREATURE, exoticbirds:peafowl, 6, 2, 3
93, plains, minecraft:plains, CREATURE, exoticbirds:cassowary, 5, 2, 3
94, plains, minecraft:plains, CREATURE, exoticbirds:pigeon, 12, 2, 3
95, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_vaca_nelore, 20, 2, 3
96, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_vaca_holandesa, 20, 2, 3
97, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_touro_nelore, 20, 2, 3
98, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_touro_holandes, 20, 2, 3
99, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_porco_large_white, 10, 1, 1
100, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_porca_large_white, 20, 1, 3
101, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_galinha_pedres, 20, 1, 3
102, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_galinha_leghorn, 20, 1, 3
103, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_galinha_espanhola, 20, 1, 3
104, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_galinha_da_angola, 20, 1, 3
105, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_bezerro_nelore, 10, 1, 1
106, plains, minecraft:plains, CREATURE, totalcreaturesfarm_1_16_5:tc_bezerro_holandes, 10, 1, 1
107, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
108, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 2, 2
109, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
110, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 2, 2
111, plains, minecraft:plains, CREATURE, chococraft:chocobo, 10, 1, 2
112, plains, minecraft:plains, CREATURE, monsters_and_girls:ink_cap, 10, 1, 2
113, plains, minecraft:plains, CREATURE, untitledduckmod:duck, 22, 1, 2
114, plains, minecraft:plains, CREATURE, untitledduckmod:goose, 22, 1, 2
115, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 1, 2
116, plains, minecraft:plains, AMBIENT, supplementaries:firefly, 5, 3, 6
117, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 5, 2, 3
118, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 5, 1, 3
119, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 5, 2, 3
120, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 5, 1, 3
121, plains, minecraft:plains, AMBIENT, terraincognita:butterfly, 28, 2, 3
122, plains, minecraft:plains, WATER_CREATURE, experimental_m:guara, 10, 1, 1
123, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 5, 1, 1
124, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 2
125, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 2
126, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 30, 1, 2
127, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 2
128, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 2
129, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 30, 1, 2
130, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 5, 1, 1
131, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
132, desert, minecraft:desert, MONSTER, minecraft:spider, 30, 1, 2
133, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 2, 3
134, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
135, desert, minecraft:desert, MONSTER, minecraft:skeleton, 30, 1, 2
136, desert, minecraft:desert, MONSTER, minecraft:creeper, 30, 1, 2
137, desert, minecraft:desert, MONSTER, minecraft:slime, 30, 1, 2
138, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 2
139, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
140, desert, minecraft:desert, MONSTER, minecraft:husk, 30, 1, 2
141, desert, minecraft:desert, MONSTER, geode:redstonegeode, 20, 1, 1
142, desert, minecraft:desert, MONSTER, geode:quartzgeode, 20, 1, 1
143, desert, minecraft:desert, MONSTER, geode:lapisgeode, 20, 1, 1
144, desert, minecraft:desert, MONSTER, geode:irongeode, 20, 1, 1
145, desert, minecraft:desert, MONSTER, geode:goldgeode, 20, 1, 1
146, desert, minecraft:desert, MONSTER, geode:glowstonegeode, 20, 1, 1
147, desert, minecraft:desert, MONSTER, geode:emeraldgeode, 20, 1, 1
148, desert, minecraft:desert, MONSTER, geode:diamondgeode, 25, 1, 1
149, desert, minecraft:desert, MONSTER, geode:coalgeode, 20, 1, 1
150, desert, minecraft:desert, MONSTER, teleportation_crystals:unstable_enderman, 10, 1, 1
151, desert, minecraft:desert, MONSTER, experimental_m:vixi, 7, 1, 1
152, desert, minecraft:desert, MONSTER, experimental_m:vinci, 5, 1, 1
153, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 8, 1, 1
154, desert, minecraft:desert, MONSTER, alexsmobs:guster, 30, 1, 2
155, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 8, 1, 1
156, desert, minecraft:desert, MONSTER, alexsmobs:guster, 30, 1, 2
157, desert, minecraft:desert, MONSTER, experimental_m:skinnerprimerestado, 7, 1, 1
158, desert, minecraft:desert, MONSTER, experimental_m:rotscal, 5, 1, 1
159, desert, minecraft:desert, MONSTER, experimental_m:rhino_beetle, 5, 1, 1
160, desert, minecraft:desert, MONSTER, dungeonsmod:anthermite, 5, 2, 3
161, desert, minecraft:desert, MONSTER, dungeonsmod:crow, 5, 1, 1
162, desert, minecraft:desert, MONSTER, experimental_m:praying_mantis, 5, 1, 1
163, desert, minecraft:desert, MONSTER, touhou_little_maid:fairy, 30, 1, 2
164, desert, minecraft:desert, MONSTER, experimental_m:onis, 6, 1, 3
165, desert, minecraft:desert, MONSTER, experimental_m:ninna, 7, 1, 2
166, desert, minecraft:desert, MONSTER, experimental_m:mummybeetle, 7, 3, 4
167, desert, minecraft:desert, MONSTER, experimental_m:mummybeetleclones, 5, 2, 4
168, desert, minecraft:desert, MONSTER, experimental_m:morb, 7, 1, 1
169, desert, minecraft:desert, MONSTER, experimental_m:kullo, 7, 1, 1
170, desert, minecraft:desert, MONSTER, experimental_m:fiend, 5, 1, 1
171, desert, minecraft:desert, MONSTER, experimental_m:fasolabajoarena, 5, 1, 1
172, desert, minecraft:desert, MONSTER, experimental_m:endermancito, 7, 1, 1
173, desert, minecraft:desert, MONSTER, experimental_m:chunchi_zombie, 5, 2, 3
174, desert, minecraft:desert, MONSTER, experimental_m:chilopoto, 6, 1, 2
175, desert, minecraft:desert, MONSTER, experimental_m:charco, 7, 1, 1
176, desert, minecraft:desert, MONSTER, experimental_m:baby_skeleton, 5, 1, 2
177, desert, minecraft:desert, CREATURE, minecraft:rabbit, 15, 2, 3
178, desert, minecraft:desert, CREATURE, exoticbirds:roadrunner, 10, 1, 2
179, desert, minecraft:desert, CREATURE, exoticbirds:ostrich, 5, 2, 3
180, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 9, 2, 2
181, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
182, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 6, 1, 1
183, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 9, 2, 2
184, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
185, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 6, 1, 1
186, desert, minecraft:desert, CREATURE, untitledduckmod:duck, 22, 1, 2
187, desert, minecraft:desert, CREATURE, untitledduckmod:goose, 22, 1, 2
188, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 1, 2
189, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 5, 2, 3
190, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 5, 1, 3
191, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 5, 2, 3
192, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 5, 1, 3
193, desert, minecraft:desert, WATER_CREATURE, experimental_m:guara, 10, 1, 1
194, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 6, 1, 2
195, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 30, 1, 2
196, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 5, 1, 1
197, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 2
198, extreme_hills, minecraft:mountains, MONSTER, minecraft:spider, 30, 1, 2
199, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie, 30, 1, 2
200, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie_villager, 5, 1, 1
201, extreme_hills, minecraft:mountains, MONSTER, minecraft:skeleton, 30, 1, 2
202, extreme_hills, minecraft:mountains, MONSTER, minecraft:creeper, 30, 1, 2
203, extreme_hills, minecraft:mountains, MONSTER, minecraft:slime, 30, 1, 2
204, extreme_hills, minecraft:mountains, MONSTER, minecraft:enderman, 10, 1, 2
205, extreme_hills, minecraft:mountains, MONSTER, minecraft:witch, 5, 1, 1
206, extreme_hills, minecraft:mountains, MONSTER, geode:redstonegeode, 20, 1, 1
207, extreme_hills, minecraft:mountains, MONSTER, geode:quartzgeode, 20, 1, 1
208, extreme_hills, minecraft:mountains, MONSTER, geode:lapisgeode, 20, 1, 1
209, extreme_hills, minecraft:mountains, MONSTER, geode:irongeode, 20, 1, 1
210, extreme_hills, minecraft:mountains, MONSTER, geode:goldgeode, 20, 1, 1
211, extreme_hills, minecraft:mountains, MONSTER, geode:glowstonegeode, 20, 1, 1
212, extreme_hills, minecraft:mountains, MONSTER, geode:emeraldgeode, 20, 1, 1
213, extreme_hills, minecraft:mountains, MONSTER, geode:diamondgeode, 25, 1, 1
214, extreme_hills, minecraft:mountains, MONSTER, geode:coalgeode, 20, 1, 1
215, extreme_hills, minecraft:mountains, MONSTER, teleportation_crystals:unstable_enderman, 10, 1, 1
216, extreme_hills, minecraft:mountains, MONSTER, experimental_m:vixi, 7, 1, 1
217, extreme_hills, minecraft:mountains, MONSTER, experimental_m:vinci, 5, 1, 1
218, extreme_hills, minecraft:mountains, MONSTER, experimental_m:to, 7, 1, 1
219, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
220, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
221, extreme_hills, minecraft:mountains, MONSTER, experimental_m:skinnerprimerestado, 7, 1, 1
222, extreme_hills, minecraft:mountains, MONSTER, experimental_m:rotscal, 5, 1, 1
223, extreme_hills, minecraft:mountains, MONSTER, experimental_m:praying_mantis, 5, 1, 1
224, extreme_hills, minecraft:mountains, MONSTER, touhou_little_maid:fairy, 30, 1, 2
225, extreme_hills, minecraft:mountains, MONSTER, experimental_m:ninna, 7, 1, 2
226, extreme_hills, minecraft:mountains, MONSTER, experimental_m:mummybeetle, 7, 3, 4
227, extreme_hills, minecraft:mountains, MONSTER, experimental_m:mummybeetleclones, 5, 2, 4
228, extreme_hills, minecraft:mountains, MONSTER, experimental_m:morb, 7, 1, 1
229, extreme_hills, minecraft:mountains, MONSTER, experimental_m:kullo, 7, 1, 1
230, extreme_hills, minecraft:mountains, MONSTER, experimental_m:holoteme, 5, 1, 1
231, extreme_hills, minecraft:mountains, MONSTER, experimental_m:fiend, 5, 1, 1
232, extreme_hills, minecraft:mountains, MONSTER, experimental_m:chunchi_zombie, 5, 2, 3
233, extreme_hills, minecraft:mountains, MONSTER, experimental_m:chilopoto, 6, 1, 2
234, extreme_hills, minecraft:mountains, MONSTER, experimental_m:charco, 7, 1, 1
235, extreme_hills, minecraft:mountains, MONSTER, experimental_m:bougga, 10, 1, 1
236, extreme_hills, minecraft:mountains, MONSTER, experimental_m:baby_skeleton, 5, 1, 2
237, extreme_hills, minecraft:mountains, CREATURE, minecraft:sheep, 22, 2, 3
238, extreme_hills, minecraft:mountains, CREATURE, minecraft:pig, 20, 2, 3
239, extreme_hills, minecraft:mountains, CREATURE, minecraft:chicken, 20, 2, 3
240, extreme_hills, minecraft:mountains, CREATURE, minecraft:cow, 18, 2, 3
241, extreme_hills, minecraft:mountains, CREATURE, minecraft:llama, 5, 4, 6
242, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 5, 1, 1
243, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 5, 1, 1
244, extreme_hills, minecraft:mountains, CREATURE, chococraft:chocobo, 10, 1, 2
245, extreme_hills, minecraft:mountains, CREATURE, untitledduckmod:duck, 22, 1, 2
246, extreme_hills, minecraft:mountains, CREATURE, untitledduckmod:goose, 22, 1, 2
247, extreme_hills, minecraft:mountains, AMBIENT, minecraft:bat, 10, 1, 2
248, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 5, 2, 3
249, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 5, 1, 3
250, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 5, 2, 3
251, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 5, 1, 3
252, extreme_hills, minecraft:mountains, WATER_CREATURE, experimental_m:guara, 10, 1, 1
253, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:muskellunge, 5, 1, 1
254, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:carp, 10, 1, 2
255, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 2
256, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:perch, 30, 1, 2
257, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 2
258, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 2
259, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:bluegill, 30, 1, 2
260, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:catfish, 5, 1, 1
261, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
262, forest, minecraft:forest, MONSTER, minecraft:spider, 30, 1, 2
263, forest, minecraft:forest, MONSTER, minecraft:zombie, 30, 1, 2
264, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
265, forest, minecraft:forest, MONSTER, minecraft:skeleton, 30, 1, 2
266, forest, minecraft:forest, MONSTER, minecraft:creeper, 30, 1, 2
267, forest, minecraft:forest, MONSTER, minecraft:slime, 30, 1, 2
268, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 2
269, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
270, forest, minecraft:forest, MONSTER, geode:redstonegeode, 20, 1, 1
271, forest, minecraft:forest, MONSTER, geode:quartzgeode, 20, 1, 1
272, forest, minecraft:forest, MONSTER, geode:lapisgeode, 20, 1, 1
273, forest, minecraft:forest, MONSTER, geode:irongeode, 20, 1, 1
274, forest, minecraft:forest, MONSTER, geode:goldgeode, 20, 1, 1
275, forest, minecraft:forest, MONSTER, geode:glowstonegeode, 20, 1, 1
276, forest, minecraft:forest, MONSTER, geode:emeraldgeode, 20, 1, 1
277, forest, minecraft:forest, MONSTER, geode:diamondgeode, 25, 1, 1
278, forest, minecraft:forest, MONSTER, geode:coalgeode, 20, 1, 1
279, forest, minecraft:forest, MONSTER, teleportation_crystals:unstable_enderman, 10, 1, 1
280, forest, minecraft:forest, MONSTER, experimental_m:vixi, 7, 1, 1
281, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
282, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
283, forest, minecraft:forest, MONSTER, experimental_m:sombra, 5, 1, 1
284, forest, minecraft:forest, MONSTER, experimental_m:skinnerprimerestado, 7, 1, 1
285, forest, minecraft:forest, MONSTER, experimental_m:rotscal, 5, 1, 1
286, forest, minecraft:forest, MONSTER, experimental_m:raffle, 5, 1, 1
287, forest, minecraft:forest, MONSTER, dungeonsmod:rogue, 5, 1, 1
288, forest, minecraft:forest, MONSTER, dungeonsmod:crow, 5, 1, 1
289, forest, minecraft:forest, MONSTER, experimental_m:praying_mantis, 5, 1, 1
290, forest, minecraft:forest, MONSTER, touhou_little_maid:fairy, 30, 1, 2
291, forest, minecraft:forest, MONSTER, experimental_m:pachachito, 7, 1, 1
292, forest, minecraft:forest, MONSTER, experimental_m:ninna, 7, 1, 2
293, forest, minecraft:forest, MONSTER, experimental_m:mummybeetle, 7, 3, 4
294, forest, minecraft:forest, MONSTER, experimental_m:mummybeetleclones, 5, 2, 4
295, forest, minecraft:forest, MONSTER, experimental_m:morb, 7, 1, 1
296, forest, minecraft:forest, MONSTER, experimental_m:lover, 5, 1, 1
297, forest, minecraft:forest, MONSTER, experimental_m:kullo, 7, 1, 1
298, forest, minecraft:forest, MONSTER, experimental_m:kuko, 5, 1, 1
299, forest, minecraft:forest, MONSTER, experimental_m:forest, 6, 1, 1
300, forest, minecraft:forest, MONSTER, experimental_m:endermancito, 7, 1, 1
301, forest, minecraft:forest, MONSTER, experimental_m:chunchi_zombie, 5, 2, 3
302, forest, minecraft:forest, MONSTER, experimental_m:chilopoto, 6, 1, 2
303, forest, minecraft:forest, MONSTER, experimental_m:brachini, 5, 3, 5
304, forest, minecraft:forest, MONSTER, experimental_m:baby_skeleton, 5, 1, 2
305, forest, minecraft:forest, MONSTER, experimental_m:acid_slime, 5, 1, 2
306, forest, minecraft:forest, CREATURE, minecraft:sheep, 22, 2, 3
307, forest, minecraft:forest, CREATURE, minecraft:pig, 20, 2, 3
308, forest, minecraft:forest, CREATURE, minecraft:chicken, 20, 2, 3
309, forest, minecraft:forest, CREATURE, minecraft:cow, 18, 2, 3
310, forest, minecraft:forest, CREATURE, minecraft:wolf, 15, 2, 3
311, forest, minecraft:forest, CREATURE, exoticbirds:bluejay, 12, 2, 3
312, forest, minecraft:forest, CREATURE, exoticbirds:cardinal, 12, 2, 3
313, forest, minecraft:forest, CREATURE, exoticbirds:robin, 12, 2, 3
314, forest, minecraft:forest, CREATURE, exoticbirds:lyrebird, 8, 2, 3
315, forest, minecraft:forest, CREATURE, exoticbirds:hummingbird, 18, 2, 3
316, forest, minecraft:forest, CREATURE, exoticbirds:peafowl, 6, 2, 3
317, forest, minecraft:forest, CREATURE, exoticbirds:magpie, 12, 2, 3
318, forest, minecraft:forest, CREATURE, exoticbirds:cassowary, 5, 2, 3
319, forest, minecraft:forest, CREATURE, exoticbirds:kiwi, 8, 2, 3
320, forest, minecraft:forest, CREATURE, exoticbirds:pigeon, 12, 2, 3
321, forest, minecraft:forest, CREATURE, exoticbirds:woodpecker, 12, 2, 3
322, forest, minecraft:forest, CREATURE, totalcreaturesfarm_1_16_5:pombo, 20, 1, 3
323, forest, minecraft:forest, CREATURE, totalcreaturesfarm_1_16_5:tc_codorna, 20, 1, 3
324, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
325, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
326, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 2, 2
327, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
328, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
329, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
330, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 2, 2
331, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
332, forest, minecraft:forest, CREATURE, monsters_and_girls:red_mushrom_gal, 20, 1, 4
333, forest, minecraft:forest, CREATURE, monsters_and_girls:ink_cap, 10, 1, 2
334, forest, minecraft:forest, CREATURE, monsters_and_girls:green_mandrake, 10, 1, 2
335, forest, minecraft:forest, CREATURE, monsters_and_girls:fly_alexgaric, 5, 1, 2
